epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.28,2.70507,11.0366,2.48954,0.73653,0.125,0.14354,0.01615,3.08439,11.4816,3.30212,7.69e-06,7.69e-06,7.69e-06
2,203.054,2.65213,8.83463,2.43358,0.7366,0.125,0.1415,0.01824,2.97337,10.2683,3.18549,2.26132e-05,2.26132e-05,2.26132e-05
3,298.307,2.62483,6.17105,2.41762,0.73827,0.125,0.14684,0.02781,2.98262,10.6717,3.25707,3.69274e-05,3.69274e-05,3.69274e-05
4,398.472,2.41898,5.15425,2.17299,0.97786,0.125,0.13846,0.02277,2.85875,14.9076,3.07021,5.06325e-05,5.06325e-05,5.06325e-05
5,495.298,2.3994,4.82084,2.25721,0.87195,0.125,0.14458,0.02646,2.84434,20.52,3.0029,6.37286e-05,6.37286e-05,6.37286e-05
6,612.883,2.17798,4.45254,2.23916,0.47592,0.36324,0.29813,0.09079,2.82658,23.8536,2.82678,7.62156e-05,7.62156e-05,7.62156e-05
7,715.366,2.16056,3.72231,1.98575,0.84246,0.46435,0.45646,0.1542,2.76696,19.1906,2.68574,8.80936e-05,8.80936e-05,8.80936e-05
8,832.497,1.93568,3.10035,1.7765,0.83783,0.5,0.48609,0.17813,2.66703,14.2588,2.61029,9.93625e-05,9.93625e-05,9.93625e-05
9,957.296,1.92771,2.80041,1.7357,0.88319,0.5,0.54559,0.2,2.555,11.2901,2.48423,0.000110022,0.000110022,0.000110022
10,1096.29,1.75209,2.79312,1.72337,0.80355,0.49169,0.58449,0.21042,2.40904,8.89145,2.324,0.000120073,0.000120073,0.000120073
11,1208.62,1.81499,2.68759,1.71966,0.78612,0.49596,0.59539,0.22924,2.33037,6.71834,2.23067,0.000129515,0.000129515,0.000129515
12,1327.05,1.727,2.44534,1.66427,0.76109,0.5,0.615,0.23723,2.29904,5.21282,2.1568,0.000138348,0.000138348,0.000138348
13,1431.1,1.66846,2.39748,1.61784,0.82481,0.5,0.56188,0.21747,2.22048,5.00904,1.98209,0.000146571,0.000146571,0.000146571
14,1522.63,1.56581,2.03766,1.50386,0.84694,0.5,0.56688,0.23516,2.14051,5.0328,1.92334,0.000154186,0.000154186,0.000154186
15,1660.34,1.61361,2.03506,1.51463,0.84823,0.5,0.55312,0.22029,2.14526,4.69632,1.91978,0.000161192,0.000161192,0.000161192
16,1768.49,1.42657,1.8029,1.43475,0.6636,0.58333,0.58063,0.24133,2.18745,4.65954,1.9264,0.000167588,0.000167588,0.000167588
17,1907.46,1.4214,1.85449,1.45058,0.68094,0.58333,0.56812,0.22777,2.13352,4.49325,1.88249,0.000173376,0.000173376,0.000173376
18,2072.52,1.36109,1.7665,1.43233,0.6832,0.58333,0.54337,0.23278,2.03978,4.2471,1.86568,0.000178554,0.000178554,0.000178554
19,2215.91,1.39576,1.71137,1.41298,0.68156,0.58333,0.48245,0.20332,1.95365,4.20321,1.8584,0.000183124,0.000183124,0.000183124
20,2420.67,1.39837,1.54176,1.343,0.66746,0.58333,0.46783,0.19226,1.87196,4.18354,1.77117,0.000187084,0.000187084,0.000187084
