[XFC_DATALOGGER_HEADER];;;;;;;;;;
CULTURE;pt-BR;;;;;;;;;
SOFTWARE_VERSION;V2.1.1;;;;;;;;;
DATETIME;2024-12-25T15:12:28;;;;;;;;;
USERNAME;Novaes Engenharia;;;;;;;;;
CG_NUMBER;CG110C1R00;;;;;;;;;
CONVERTER_ELECTRONICS;IFC050;;;;;;;;;
ELECTRONIC_SERIAL_NUMBER;106479269;;;;;;;;;
LOG_START_TIME;2024-02-05T16:20:36;;;;;;;;;
[XFC_DATALOGGER_DATA];;;;;;;;;;
Time;Operating Time;Current Output A;Counter1 Display IO;Counter 2;Flow Speed;Volume Flow;Mass Flow;Coil Temperature;Conductivity;Diagnosis 1
Time;Operating Time;Current Output A;Counter1 Display IO;Counter 2;Flow Speed;Volume Flow;Mass Flow;Coil Temperature;Conductivity;Diagnosis 1
0,003605;;10,1309158;;;0,782723963;;49896,9223;;202,673264;
0,05336;;;;;;49,794741;;;;
0,056965;;10,1310303;;;0,785859942;;49794,7426;1435,21804;;
0,10624;;;;;;49,9942437;;;;
0,109845;;10,1310955;;;0,789913774;;49994,244;;202,445835;
0,150225;;;;;;50,2521381;;;;
0,15383;147406,683;10,1311952;122799,745;-3,36264221;0,787313223;;50252,1378;;;2,29400015
0,21368;;;;;;50,0866961;;;;
0,217285;;10,1312827;;;0,783641815;;50086,6974;1431,88699;;
0,252855;;;;;;49,8531327;;;;
0,256465;;10,1313535;;;0,784789145;;49853,1315;;202,217083;
0,305975;;;;;;49,9261223;;;;
0,30958;;10,1314057;;;0,787083745;;49926,1219;1435,06667;;
0,345395;;;;;;50,0720982;;;;
0,349;;10,1314932;122799,748;;0,786318898;;50072,0993;;;
0,39707;;;;;;50,0234395;;;;
0,400675;147406,683;10,1315985;;-3,36264221;0,784789145;;50023,4402;;201,741867;2,29050016
0,453315;;;;;;49,9261223;;;;
0,45692;;10,1317223;;;0,784406722;;49926,1219;1434,10769;;
0,506435;;;;;;49,9017946;;;;
0,51004;;10,1317931;;;0,782112062;;49901,7941;;201,485604;
0,546575;;;;;;49,7558121;;;;
0,54994;;10,1318639;122799,751;;0,78035289;;49755,8132;1432,84597;;
0,613875;;;;;;49,6439002;;;;
0,61748;147406,683;10,1319654;;-3,36264221;0,780276418;;49643,9003;;;
0,65161;;;;;;49,6390354;;;;
0,655455;;10,1320455;;;0,778440714;;49639,0354;;201,933533;2,29400015
0,693915;;;;;;49,522252;;;;
0,69752;;10,1320911;;;0,777140439;;49522,2507;1433,95632;;
0,74655;;;;;;49,4395327;;;;
0,750155;;10,1322029;;;0,778593659;;49439,534;;202,099383;
0,804475;;;;;;49,5319817;;;;
0,80808;147406,7;10,1322653;122799,754;-3,36264221;0,77775234;;49531,9805;1433,14871;;
0,86793;;;;;;49,4784616;;;;
0,871535;;10,1323212;;;0,775840163;;49478,4599;;;2,29400015
0,90735;;;;;;49,3568134;;;;
0,910715;;10,1323612;;;0,779205561;;49356,8138;;203,127358;
0,94677;;;;;;49,5709106;;;;
0,950135;;10,1323966;;;0,78463614;;49570,9099;1434,91531;;
0,999405;;;;;;49,9163892;;;;
1,00301;;10,1324301;122799,757;;0,789913774;;49916,3887;;203,387495;
1,053005;;;;;;50,2521381;;;;
1,05661;147406,7;10,1324804;;-3,36264221;0,79152;;50252,1378;;;
1,1042;;;;;;50,3543202;;;;
1,10781;;10,1325177;;;0,783029914;;50354,3209;1433,45168;;2,29400015
1,146265;;;;;;49,8142038;;;;
1,14987;;10,1325884;;;0,774616361;;49814,2021;;203,423873;
1,199625;;;;;;49,2789589;;;;
1,20323;;10,1326285;;;0,777599335;;49278,9585;1434,76394;;
1,24361;;;;;;49,4687252;;;;
1,247215;147406,7;10,1326797;122799,76;-3,36264221;0,783259392;;49468,7267;;;
1,3049;;;;;;49,828805;;;;
1,308505;;10,1327095;;;0,782418013;;49828,8036;;203,559622;
1,34456;;;;;;49,7752782;;;;
1,347925;;10,1327458;;;0,782571018;;49775,2796;1433,45156;;2,29400015
1,40008;;;;;;49,7850113;;;;
1,403685;;10,1327663;;;0,786624849;;49785,0128;;203,377735;
1,43998;;;;;;50,0429057;;;;
1,443585;;10,1328008;122799,763;;0,786777794;;50042,9066;;;
1,4919;;;;;;50,0526354;;;;
1,495505;147406,7;10,1328436;;-3,36264221;0,784789145;;50052,6363;1435,06667;;
1,54574;;;;;;49,9261223;;;;
1,549345;;10,1328958;;;0,78608942;;49926,1219;;203,073882;
1,5991;;;;;;50,0088416;;;;
1,602945;;10,1329274;;;0,787466168;;50008,8421;1433,45156;;2,29400015
1,64116;;;;;;50,0964258;;;;
1,644765;;10,1329591;122799,766;;0,786395371;;50096,4272;;203,422531;
1,7087;;;;;;50,0283044;;;;
1,712065;147406,7;10,1330113;;-3,36264221;0,785630524;;50028,3051;;;
1,746195;;;;;;49,9796491;;;;
1,7498;;10,133056;;;0,786548316;;49979,6494;1435,21804;;
1,799315;;;;;;50,0380374;;;;
1,80292;;10,1330951;;;0,785936415;;50038,0383;;203,367677;
1,838495;;;;;;49,9991085;;;;
1,8421;;10,1331603;;;0,779129088;;49999,1089;1433,14871;;2,29400015
1,898825;;;;;;49,5660458;;;;
1,90243;147406,717;10,133218;122799,769;-3,36264221;0,771556854;;49566,045;;203,11933;
1,962275;;;;;;49,084321;;;;
1,965885;;10,1332515;;;0,769797683;;49084,322;;;
1,999535;;;;;;48,9724059;;;;
2,0029;;10,1332776;;;0,77316308;;48972,4056;1435,21804;;
2,03895;;;;;;49,1865031;;;;
2,042555;;10,1332963;;;0,784942091;;49186,5017;;203,145575;
2,09207;;;;;;49,935852;;;;
2,095675;;10,1333093;122799,772;;0,798327386;;49935,8517;1435,06667;;2,29400015
2,148075;;;;;;50,7873863;;;;
2,15168;147406,717;10,1333279;;-3,36264221;0,795803308;;50787,3848;;;
2,18629;;;;;;50,6268125;;;;
2,189895;;10,1333549;;;0,784253716;;50626,8127;;203,192737;
2,23941;;;;;;49,8920582;;;;
2,242775;;10,1333968;;;0,78379482;;49892,0574;1434,91531;;
2,29229;;;;;;49,8628657;;;;
2,295895;;10,1334341;;;0,790296197;;49862,8647;;203,32722;
2,336035;;;;;;50,2764657;;;;
2,3394;147406,717;10,1334713;122799,775;-3,36264221;0,792361379;;50276,4656;;;2,29400015
2,399485;;;;;;50,407847;;;;
2,40309;;10,133516;;;0,791443527;;50407,8484;1433,30007;;
2,439145;;;;;;50,3494553;;;;
2,44275;;10,1335552;;;0,789301872;;50349,456;;202,361885;
2,492265;;;;;;50,2132092;;;;
2,49611;;10,1336334;;;0,788001597;;50213,2084;1434,76394;;
2,54971;;;;;;50,1304898;;;;
